09:43:10.504 -> 29,1013.12,1013.13,0.28,13.03,-0.008,-0.002,0.993,0.70,-0.47,0.34,-70,9.22
09:43:11.505 -> 30,1013.27,1013.14,0.34,13.05,0.010,-0.005,1.011,-0.39,0.45,-0.39,-67,9.80
09:43:12.506 -> 31,1013.09,1013.22,0.40,13.06,-0.011,-0.013,1.007,0.61,0.74,0.61,-69,10.39
09:43:13.507 -> 32,1013.19,1013.12,0.30,13.04,0.006,-0.006,1.015,-0.21,0.37,0.49,-68,10.71
09:43:14.508 -> 33,1013.27,1013.16,0.26,13.05,-0.000,-0.005,1.006,-0.65,0.13,-0.33,-71,9.70
09:43:15.509 -> 34,1013.28,1013.17,0.14,13.08,-0.008,-0.009,0.998,-0.05,0.57,0.56,-72,9.81
09:43:16.510 -> 35,1013.28,1013.26,0.06,13.08,-0.008,-0.008,1.012,0.24,-0.55,-0.17,-71,9.81
09:43:17.511 -> 36,1013.35,1013.25,0.00,13.07,-0.009,0.009,0.989,0.57,-0.74,-0.80,-73,10.80
09:43:18.512 -> 37,1013.31,1013.13,0.00,13.08,-0.003,0.008,0.993,-0.04,0.53,-0.51,-73,10.11
09:43:19.513 -> 38,1013.23,1013.16,0.04,13.06,0.003,-0.015,1.007,0.23,-0.30,0.05,-71,10.79
09:43:20.515 -> 39,1013.33,1013.26,0.12,13.08,-0.003,0.002,1.011,-0.24,0.62,0.17,-69,10.88
09:43:21.515 -> 40,1013.34,1013.16,0.19,13.10,0.002,-0.005,1.000,0.03,-0.26,-0.16,-68,9.61
09:43:22.516 -> 41,1013.15,1013.10,0.18,13.08,0.002,0.004,0.997,0.70,-0.55,0.53,-72,10.97
09:43:23.518 -> 42,1013.22,1013.13,0.09,13.11,-0.001,0.010,0.986,-0.77,-0.66,-0.47,-70,9.07
09:43:24.518 -> 43,1013.27,1013.17,0.23,13.08,0.009,-0.003,1.004,-0.80,0.76,-0.67,-73,9.68
09:43:25.521 -> 44,1013.28,1013.14,0.34,13.11,0.008,-0.006,1.006,0.57,-0.62,0.42,-70,10.39
09:43:26.521 -> 45,1013.15,1013.09,0.28,13.09,-0.005,-0.013,0.987,-0.29,-0.45,-0.69,-72,9.90
09:43:27.522 -> 46,1013.31,1013.23,0.33,13.07,-0.009,-0.007,1.003,0.12,0.69,0.52,-67,10.98
09:43:28.523 -> 47,1013.13,1013.20,0.25,13.07,0.007,0.004,0.995,-0.12,0.11,-0.61,-73,10.28
09:43:29.524 -> 48,1013.11,1013.12,0.34,13.06,0.001,0.007,1.000,-0.00,-0.41,-0.14,-73,9.96
09:43:30.525 -> 49,1013.25,1013.22,0.37,13.05,0.011,-0.009,1.004,0.04,-0.05,0.12,-69,9.72
09:43:31.526 -> 50,1013.22,1013.22,0.33,13.07,0.002,-0.014,1.010,-0.62,0.41,-0.14,-72,10.91
09:43:32.527 -> 51,1013.22,1013.19,0.38,13.06,0.009,0.012,1.005,0.73,0.21,0.69,-71,10.17
09:43:33.528 -> 52,1013.13,1013.22,0.26,13.05,0.003,-0.001,1.010,-0.35,-0.23,0.39,-67,9.86
09:43:34.529 -> 53,1013.18,1013.16,0.24,13.07,-0.000,0.013,0.991,-0.66,0.13,-0.01,-70,10.88
09:43:35.530 -> 54,1013.26,1013.14,0.31,13.04,0.010,0.015,0.991,-0.23,-0.64,0.63,-67,10.91
09:43:36.531 -> 55,1013.34,1013.09,0.43,13.05,0.008,-0.004,1.001,0.10,-0.38,-0.15,-68,10.58
09:43:37.532 -> 56,1013.21,1013.15,0.34,13.06,0.006,-0.012,1.008,-0.50,-0.40,-0.40,-68,9.60
09:43:38.533 -> 57,1013.15,1013.12,0.44,13.05,-0.014,-0.001,0.993,0.35,-0.64,-0.16,-67,10.46
09:43:39.534 -> 58,1013.06,1013.08,0.56,13.04,-0.015,-0.012,1.001,-0.07,-0.69,0.10,-70,9.17
09:43:40.535 -> 59,1013.17,1013.08,0.54,13.04,-0.006,0.002,1.005,-0.42,-0.14,-0.20,-69,9.06
09:43:41.536 -> 60,1013.10,1013.14,0.63,13.03,0.009,0.014,1.005,-0.19,-0.02,0.37,-71,10.30
09:43:42.538 -> 61,1013.05,1013.16,0.52,13.02,-0.014,0.004,1.012,-0.48,0.63,-0.76,-70,9.67
09:43:43.538 -> 62,1013.22,1013.14,0.46,13.02,-0.004,0.007,1.014,-0.75,-0.39,-0.37,-73,9.82
09:43:44.540 -> 63,1013.16,1013.08,0.60,13.00,-0.009,-0.001,1.004,0.44,0.03,-0.71,-67,10.97
09:43:45.544 -> 64,1013.35,1013.08,0.54,12.99,0.007,0.008,0.992,0.38,-0.77,-0.15,-71,9.31
09:43:46.542 -> 65,1013.18,1013.19,0.65,13.02,0.000,-0.003,1.008,-0.60,0.47,-0.78,-73,9.45
09:43:47.542 -> 66,1013.18,1013.10,0.54,13.01,0.003,0.013,1.015,0.77,0.48,-0.54,-73,9.31
09:43:48.543 -> 67,1013.34,1013.20,0.55,13.00,0.010,-0.004,0.992,-0.33,-0.30,0.08,-73,9.73
09:43:49.544 -> 68,1013.25,1013.05,0.63,13.02,0.003,0.012,0.989,-0.01,0.66,0.62,-72,10.59
09:43:50.545 -> 69,1013.19,1013.17,0.50,13.00,0.012,-0.008,1.007,-0.39,-0.66,0.67,-72,9.51
09:43:51.547 -> 70,1013.24,1013.17,0.63,13.00,-0.004,0.002,1.005,-0.45,0.49,-0.46,-70,9.89
09:43:52.548 -> 71,1013.12,1013.10,0.77,13.00,0.010,0.006,0.986,0.08,-0.51,0.12,-73,10.23
09:43:53.548 -> 72,1013.20,1013.06,0.66,13.01,-0.001,-0.004,1.011,0.71,-0.20,0.10,-67,9.80
09:43:54.550 -> 73,1013.29,1013.12,0.80,13.02,-0.012,0.011,1.012,0.76,0.44,0.49,-69,10.68
09:43:55.551 -> 74,1013.22,1013.12,0.73,13.02,0.009,0.013,0.993,0.60,0.48,-0.15,-69,10.14
09:43:56.552 -> 75,1013.34,1013.17,0.85,13.02,-0.012,0.007,0.987,0.41,0.79,0.44,-68,9.95
09:43:57.554 -> 76,1013.30,1013.10,0.71,13.03,0.006,0.002,1.014,-0.35,0.33,-0.73,-72,10.80
09:43:58.554 -> 77,1013.05,1013.15,0.78,13.04,-0.012,0.003,1.001,0.21,0.55,0.32,-73,10.69
09:43:59.568 -> 78,1013.31,1013.15,0.91,13.05,-0.004,-0.010,1.011,-0.04,0.62,0.21,-73,10.12
09:44:00.556 -> 79,1013.13,1013.10,0.95,13.05,-0.004,-0.010,1.013,-0.59,0.15,0.54,-69,10.66
09:44:01.557 -> 80,1013.15,1013.03,1.09,13.02,0.012,0.002,0.997,-0.17,0.12,0.36,-73,9.95
